center,count
1,0
3,2
5,4
7,7
9,12
11,20
13,33
15,38
17,43
19,56
21,73
23,73
25,65
27,80
29,108
31,64
33,80
35,69
37,68
39,65
41,79
43,62
45,44
47,38
49,29
51,24
53,18
55,6
57,1
59,1
61,1
63,0
65,0
