cond,A_I,A_F,c,A_S
G3.1_LA,87.0,95.7,0.67,86.4
Q3.5_T,84.0,91.7,0.48,72.7
12B_A,85.3,93.0,0.52,87.2
12B_T,86.3,91.7,0.39,86.8
Q3.6_T,95.7,99.3,0.85,95.5
E2B_A,79.0,74.3,-0.06,25.5
E2B_T,75.3,68.0,-0.10,19.4
